variant,trial,seed,rolling_window,n_numeric_features,n_categorical_features,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,min_child_weight,reg_alpha,reg_lambda,gamma,n,mae,rmse,bias,run_seed,variant_seed
full,71,350162443,10,20,5,5,0.06140266652373111,1327,0.6946439062236046,0.8762096814341434,0.657227535350835,1.5806436777322046,0.00706445955981061,2.3222278820976827,0.5115421764336809,9618,0.5383498647561964,0.7055489381846376,-0.0926345239337839,350162372,350162372
matched_information,91,350162464,10,5,1,4,0.01433370000929745,1227,0.6374972812353756,0.8832413980322038,0.8275288243851829,19.2990925298198,1.0111620238892876,1.2048135143770644,0.42138291333101907,9618,0.5603017417480514,0.7327241723503822,-0.10782070943245678,350162372,350162373
context_only,92,350162466,3,0,5,6,0.16032379354641518,610,0.8087374543465149,0.9097525338142963,0.9316215097266485,1.4727877717274622,0.48987389016770005,1.7911527285943158,0.22422146386214334,9618,0.5371054259238872,0.7055036042649904,-0.10232920043997848,350162372,350162374
without_identity,91,350162466,10,20,1,3,0.018635998128856014,815,0.9854553107931879,0.8422280292922508,0.6562685988404435,8.642833368495214,7.459572715434357,19.414370092125644,0.018044974247549916,9618,0.5429814602955192,0.7148659012862105,-0.11827104376847127,350162372,350162375
without_opponent_history,77,350162453,8,17,5,3,0.09581809519624074,1348,0.8294026263050184,0.9817701329500106,0.8242260926099572,5.162122856549479,1.169661715522899,0.13919799128417715,0.10927211640816287,9618,0.5415092145105296,0.7078594176908344,-0.08642295389712222,350162372,350162376
without_match_context,97,350162474,10,18,4,6,0.0344255153319207,1350,0.6624125058604721,0.7105699499203483,0.6276358005955269,4.463917406127283,0.4576355648065603,3.9580572447148574,0.3454350383609975,9618,0.5484268296809512,0.7213947329688393,-0.10146533590237035,350162372,350162377
